hscode,mo_ta,Ngay_xac_nhan
03033200,- - Cá bơn sao (Pleuronectes platessa),26/09/2023 0:00:00
03033300,- - Cá bơn sole (Solea spp.),26/09/2023 0:00:00
03033400,- - Cá bơn turbot (Psetta maxima),26/09/2023 0:00:00
03033900,- - Loại khác,26/09/2023 0:00:00
03034100,- - Cá ngừ vây dài (Thunnus alalunga),26/09/2023 0:00:00
03034200,- - Cá ngừ vây vàng (Thunnus albacares),26/09/2023 0:00:00
03034300,- - Cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis),26/09/2023 0:00:00
03034400,- - Cá ngừ mắt to (Thunnus obesus),26/09/2023 0:00:00
03034510,- - - Cá ngừ vây xanh Đại Tây Dương (Thunnus thynnus),26/09/2023 0:00:00
03034590,- - - Cá ngừ vây xanh Thái Bình Dương (Thunnus orientalis),26/09/2023 0:00:00
03034600,- - Cá ngừ vây xanh phương Nam (Thunnus maccoyii),26/09/2023 0:00:00
03034910,- - - Cá ngừ bò (Thunnus tonggol) (SEN),26/09/2023 0:00:00
03034990,- - - Loại khác,26/09/2023 0:00:00
03035100,"- - Cá trích nước lạnh (Clupea harengus, Clupea pallasii)",26/09/2023 0:00:00
03035300,"- - Cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus)",26/09/2023 0:00:00
03035410,"- - - Cá nục hoa (Scomber scombrus, Scomber australasicus) (SEN)",26/09/2023 0:00:00
03035420,- - - Cá thu ngừ Thái Bình Dương (sa ba) (Scomber japonicus) (SEN),26/09/2023 0:00:00
03035500,- - Cá nục gai và cá sòng (Trachurus spp.),26/09/2023 0:00:00
03035600,- - Cá giò (Rachycentron canadum) ,26/09/2023 0:00:00
03035700,- - Cá kiếm (Xiphias gladius),26/09/2023 0:00:00
03035910,- - - Cá bạc má (Rastrelliger kanagurta); cá bạc má đảo (Rastrelliger faughni),26/09/2023 0:00:00
03035920,- - - Cá chim trắng (Pampus spp.),26/09/2023 0:00:00
03035990,- - - Loại khác,26/09/2023 0:00:00
03036300,"- - Cá tuyết (Gadus morhua, Gadus ogac, Gadus macrocephalus)",26/09/2023 0:00:00
03036400,- - Cá tuyết chấm đen (Melanogrammus aeglefinus),26/09/2023 0:00:00
03036500,- - Cá tuyết đen (Pollachius virens),26/09/2023 0:00:00
03036600,"- - Cá tuyết hake (Merluccius spp., Urophycis spp.)",26/09/2023 0:00:00
03036700,- - Cá Minh Thái (Alaska Pollock) (Theragra chalcogramma),26/09/2023 0:00:00
03036800,"- - Cá tuyết lam (Micromesistius poutassou, Micromesistius australis)",26/09/2023 0:00:00
03036900,- - Loại khác,26/09/2023 0:00:00
03038100,- - Cá nhám góc và cá mập khác,26/09/2023 0:00:00
03038200,- - Cá đuối (Rajidae),26/09/2023 0:00:00
03038300,- - Cá răng cưa (Dissostichus spp.),26/09/2023 0:00:00
03038400,- - Cá vược (hoặc cá vược Châu Âu) (Dicentrarchus spp.),26/09/2023 0:00:00
03038911,- - - - Cá mú,26/09/2023 0:00:00
03038913,- - - - Cá mối hoa (Trachinocephalus myops),26/09/2023 0:00:00
03038914,"- - - - Cá hố savalai (Lepturacanthus savala), cá đù Belanger (Johnius belangerii), cá đù Reeve (Chrysochir aureus) và cá đù mắt to (Pennahia anea)",26/09/2023 0:00:00
03038915,- - - - Cá nhụ Ấn Độ (Polynemus indicus) ,26/09/2023 0:00:00
03038916,"- - - - Cá sòng gió (Megalaspis cordyla), cá hiên chấm (Drepane punctata) và cá nhồng lớn (Sphyraena barracuda)",26/09/2023 0:00:00
