hscode,Mô tả sản phẩm
32110000,"NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDNER W7441 3 KG (hàng mới 100%) || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER A30 2 KG (hàng mới 100%) || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER S20 3 KG (hàng mới 100%) || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER T1757 3 KG (hàng mới 100%) || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER W2607 3 KG (hàng mới 100%) || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDNER W7441 3 KG (thành phần: Toluen 40-60% CAS: 108-88-3, Hexane, 1,6-diisocyanato-, homopolymer 40-60% CAS: 28182-81-2...), hàng mới 100% || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER A30 2 KG (thành phần: Methyl ethyl ketone 50-51% CAS: 78-93-3, Polyester Resin 29-30% CAS: 25214-14-6...), hàng mới 100% || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER S20 3 KG (TP:Methyl benzene 40-41% CAS:108-88-3,Homopolymer ofHexamethylene Diisocyanate 35-36% CAS:28182-81-2...), hàng mới 100% || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER T1757 3 KG, (thành phần: Homopolymer ofHexamethylene Diisocyanate 80-81% CAS: 28182-81-2..), hàng mới 100% || NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER W2607 3 KG, (Methyl benzene 60-61% CAS:108-88-3,Homopolymer ofHexamethylene Diisocyanate 24-25% CAS:28182-81-2... hàng mới 100%"
32149000,".#&Ma tít (dùng để trát gắn, gắn kính, ghép nối, dán sàn, trần nhà, dán bộ phận cửa nhôm kính) (0.3L/tuýp) đi từ silicone - SL907 PREMIUM-TRANSPARENT. Hiệu KCC. Hàng mới 100%"
32151990,"NL179-1#&Mực in bản mạch PCB, INK / SPI -707 White LT2 (N) (0.85KG), 5040-577500 || NL179-1#&Mực in bản mạch PCB, INK / SPI -707 White LT2 (V) (0.8KG), 5020-007000 || NL179-1#&Mực in bản mạch PCB, PSR-4000 WT05 (Photoimageable Solder Mark) || NL179-1#&Mực in bản mạch PCB, WHITE PSR INK / SFR-6A KS-F(B2-R603) 3.4KG, 4060-007900 || NL179-1#&Mực in bản mạch PCB, PLUGGING INK, PHP-900 IR-6P || NL179-1#&Mực in bản mạch PCB, PSR-4000 MHF (Photoimageable Solder Mark), || NL179-1#&Mực in bản mạch PCB, PSR INK DYS-2000 / BLACK-G, 4060-006200 || NL179-1#&Mực in bản mạch PCB, DYS-2000 CS-RED 4KG *1, 4060-008200 || NL179-1#&Mực in bản mạch PCB, DM-100 HFBLACK / 1BOX(0.5kg*12), 4060-009000 || NL179-1#&Mực in bản mạch PCB, DM-100 YELLOW, 4060-008900 || NL179-1#&Mực in bản mạch PCB, DM-100 WHITE 1BOX=6KG(0.5KG*12), 4060-005300 || NL179-1#&Mực in bản mạch PCB, DYS-2000 HFDK-M( ) / 1BOX(1KG=10KG/4KG=12KG), 4060-009600 || NL179-1#&Mực in bản mạch PCB, DYS-2000 CS-YELLOW, 4060-008100 || NL179-1#&Mực in bản mạch PCB, PSR INK DYS-2000 / WS-LE ( PSR WHITE), 4060-005700 || NL179-1#&Mực in bản mạch PCB, INK, JPSR-4000 (JS-510V) / 3KG, 5040-660400 || NL179-1#&Mực in bản mạch PCB, PSR-4000 MHF (Photoimageable Solder Mark), PE230126001-VESSEL || NL179-1#&Mực in bản mạch PCB, PSR-4000 MHF (Photoimageable Solder Mark), PE230303001"
34024290,".#&Chất xử lý bề mặt kim loại TRITON X-100; thành phần: Polyethylene glycol octylphenyl ether >=97%,Poly (ethylene oxide)<=3%;dạng lỏng,200kg/phi, mới 100%"
34029012,"NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-900 (Chế phẩm chất hoạt động bề mặt Amonic) (486Kg=357.35Lit; đơn giá: 100000VND/Kg). Hàng mới 100%"
34029019,"NL126#&Hóa chất ngâm tẩm xử lý bề mặt sản phẩm dùng cho dây truyền mạ,IMPREGNATING AGENT/PLASEAL K-1400 194kg(180L), 5040-006200,TP:2-Hydroxyethyl methacrylate (868-77-9, 80~90%) || .#&Chế phẩm oxy hóa đồng clorua dùng trong quá trình khắc bảng mạch PCB AC-OX1046 (Tp: Nước 30-50%, Chlorate ion 40-50%, Sodium cation 3-10%, Chloride ion 3-10%). Hàng mới 100% || NL171#&Chất tẩy axit dùng làm bản mạch PCB, ACID CLEAN LF (TP chính: Cas: 7732-18-5 (90.8%)...), mới 100% || NL171#&Chất tẩy axit dùng làm bản mạch PCB, ACID CLEAN LF, dạng lỏng,TP:Sulfuric acid (7664-93-9) 8.5%, D.I.Water (7732-18-5) 90.8%.Private 0.7%, mới 100% || NL171#&Chất tẩy axit dùng làm bản mạch PCB, ACID CLEAN LF, dạng lỏng, TP:Sulfuric acid (7664-93-9) 8.5%, D. I. Water (7732-18-5) 90.8%. Private 0.7%, mới 100% || NL171#&Chất tẩy axit dùng làm bản mạch PCB, MKS-1200 Micro Etch, thành phần:Sulfuric acid (7664-93-9) 9.8%,Sodium xylenesulfonate (1300-72-7) 5%, D. I. Water (7732-18-5) 83.7%, hàng mới 100%"
34029099,"NL169#&Hóa chất xử lý bề mặt bản mạch PCB, GLICOAT SMD K1, làm sạch bề mặt đồng khi hàn bản mạch PCB (TP chính: Cas: 7732-18-5 (>92%)...), mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, OPC SL-CLEAN (TP chính: Cas: 7732-18-5 (73.5%), Cas: 7664-93-9 (24%)...), mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, MK-902N (TP chính: Cas: 7732-18-5 (52.2%), Cas: 7664-93-9 (47%)...), mới 100% || .#&Chất xử lý bề mặt kim loại PERA-N. Thành phần: Tribasic Sodium Phosphate 30%, Sodium Carbonate 50%, Poplyoxyethylene either 8%. 20kg/bao. Hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-DE 311 (Kali carbonat loại hơi loãng dùng trong công nghiệp mạ), (4500Kg = 3308,82 Lit; đơn giá 35000VND/Kg). Hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-900 (Chế phẩm chất hoạt động bề mặt Amonic), (486Kg = 357.35Lit; đơn giá 100000VND/Kg)- Hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-RS 513 (dung dịch tẩy sơn kalicarbonat loại hơi loãng), (3000Kg = 2205,88 Lit; đơn giá 30000VND/Kg). Hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, MK-700H, tăng độ gắn kết và chống ăn mòn bản mạch PCB, thành phần: Butyl carbitol (112-34-5) 39%, D. I. Water (7732-18-5) 48% , hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, OPC SL-CLEAN, dạng lỏng,TP:Sulfuric acid (7664-93-9) 24%,Deionized water (7732-18-5) 73.5%, Private 2.5% , hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, GLICOAT SMD K1, dạng lỏng, TP:Imidazole derivative<1%, Formic acid<4%,Ammonium hydroxide<1%, Copper complexing agent<1%, Additive<1%, mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, GLICOAT SMD K1, dạng lỏng,TP:Imidazole derivative<1%, Formic acid<4%,Ammonium hydroxide<1%,Copper complexing agent<1%, Additive<1%,mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, OPC SL-CLEAN, dạng lỏng,TP:Sulfuric acid (7664-93-9) 24%,Deionized water (7732-18-5) 73.5%, Private 2.5%, hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, MK-902N, dạng lỏng, TP:Sulfuric acid (7664-93-9) 47%, D. I. Water (7732-18-5) 52.2%, hàng mới 100% || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, KODAK ACCUMAX DEVELOPER 5L*2, TP: Deionized water (7732-18-5, 85%), Hydroquinone (123-31 -9%, 5%), 5040-577300 || NL169#&Hóa chất xử lý bề mặt bản mạch PCB, KODAK RAPID FIXER 5L*2, TP: Deionized water (7732-18-5, 45%), Ammonium thiosulphate (7783-18-8, 45%), 5040-577400"
34031919,.#&Dầu cắt gọt BW COOL EX-9290  . Hàng mới 100% ( dạng lỏng )
34039919,".#&Dung dịch tẩy rỉ sét 3M 5W 310g/chai,TP:Hydrotreated light petroleum distillates 40-60%,Butane 10-30%,oil-soluble Petroleum sulfonate, Barium salt 10-30%,propane 7-13%,petroleum 3-7%.Mới 100% || .#&Dầu cắt gọt : BW CUT MQL-109.Hàng mới 100% ( dạng lỏng ) || .#&Dầu cắt gọt: BW COOL SYN-8800SJ. hàng mới 100% ( dạng lỏng )"
35061000,"Keo dính phủ bề mặt sản phẩm,chống thấm nước,làm giảm tác động ngoại lực/HC-290YH/(Siloxanes and Silicones, di-Me 75-80%,Siloxanes and Silicones, di-Me, hydroxy-terminated 15-20%)50g/ống.mới 100% || Keo dính thành phần từ nhựa (52.1 Gr/Tuýp),(7-oxabicyclo[4.1.0]hept-...20-30%(CAS:2386-87-0),  bis-[4-(2,3-epoxipropoxi)..20-30%.CAS: (1675-54-3)/MODEL:HI-POXY 4210F/mới 100% || Keo dính thành phần từ nhựa, (0.04kg/tuýp),(Bisphenol A diglycidyl... 25-35%,(CAS:25036-25-3)Formaldehyde...20-40%,CAS (9003-36-5)... /MODEL : PT-1008S/, mới 100% || Keo dính thành phần từ nhựa,(0.04kg/tuýp),(Bisphenol A diglycidyl...25-35%,(CAS:25036-25-3)Formaldehyde polymer with 2(chloromethyl) oxirane and...20-40%,(CAS:9003-36-5).../MODEL : PT-1008S/, mới 100% || Keo dính thành phần từ nhựa,(0.04kg/tuýp),(Bisphenol A diglycidyl...25-35%,(CAS:25036-25-3).Formaldehyt polyme với 2(clometyl) oxiran và phenol...20-40%,(CAS:9003-36-5).../MODEL : PT-1008S/, mới 100% || .#&Keo silicone dán tường (đóng theo chai, trọng lượng tịnh 1 chai 0.5kg, 1m2 sử dụng 01 chai). Hàng mới 100%"
